Project Name,Ticker,Risk,Optimal BI,Minimal BI,Sell,Multipliers,Category,Focus List,Invest,Investement %,Strategy Tier,Market,Wallet,Comments
Hashflow,HFT,Mid,,0.1,,0,DEX,1,,,,Kraken,Ledger,
High Street,HIGH,Mid,,0.55,,0,Metaverse,1,,,,UNISWAP,Ledger,
SpaceID,ID,Mid,,0.05,,0,Identity,,,,,Binance,Ledger,
Iluvuim,ILV,Low,,15,,0,Gaming,1,1,,,Binance,Ledger,
ImmutableX,IMX,Mid,,0.15,,0,NFT,1,,,,Kraken,Ledger,
Injective,INJ,Low,,0.2,,,Defi,1,,,,Kraken,Ledger,
Iron Fish,IRON,Degen,,0.35,,,POW L1s,1,,,,Kucoin/Gateio,,
KASPA,KAS,Low,,0.0125,1.5,120,POW L1s,,,,,Binance,,
Kaspa,KAS,Low,,0.0125,,0,POW L1s,1,,,,Kucoin/Gateio,,
Kadena,KDA,Mid,,0.2,,0,POW L1s,,1,,,,MetaMask,
Kadena,KDA,Mid,,0.2,,0,POW L1s,,,,,,,
Magic,MAGIC,Mid,,0.25,50,200,Game Devs,1,,,,Binance,Ledger,
MetaVpad,METAV,Degen,,0.0009,,,Launchpads,1,,,,Kraken,Ledger,
Mina,MINA,Degen,,0.1,,,Aged L1,,,,,Pancake,Ledger,
Near,NEAR,Mid,,0.65,75,115,Aged L1,1,TOM,,,Kraken,Auro Wallet,
Optimus,OP,Mid,,0.6,,0,L2 Big Brands,,,,,Binance,Ledger,NOY
Optimus,OPT,Mid,,0.5,,0,L2 Big Brands,1,,,,Kraken,Ledger,NOY
Ordinals,ORDI,Degen,,0.85,,,Meme,,,,,Kraken,Ledger,
PEPE,PEPE,Low,,0.0000004,0.0001,250,Meme,,,,,Pancake,Ledger,
XCAD Network Play,PLAY,High,,0.03,,0,DeSo,1,1,,,Gateio,,
Pulschain,PLS,Degen,,0.00001,,,New L1,1,,,,Kraken,Ledger,
PulseX,PlSX,High,,0.000005,,0,DEX,1,,,,Kraken,Ledger,
Polkastarter,POLS,High,,0.8,,0,Launchpads,1,1,,,Kraken,Ledger,NOY
Marlin,POND,Degen,,0.003,,,L0,1,1,,,Pulsx (ERC20?),Ledger,
Vulcan Forged PYR,PYR,High,,1.25,,0,Game Devs,1,,,,Pulsx (ERC20?),Ledger,
Quai Network,QUAI,High,,,,#DIV/0!,POW L1s,1,1,,TOM,,,
Sei,SEI,High,,0.035,,0,New L1,1,,,,,,
Shimmer,SMR,Degen,,0.02,,,DAG,,,,,Kraken,,
Starknet,STARK,High,,,,#DIV/0!,L2 Big Brands,1,1,,,,,
Startos,STOS,Mid,,0.15,,0,Storage,1,1,,,Kraken,Ledger,
SUI,SUI,Low,,0.3,30,100,New L1,1,1,,,Binance,Ledger,
Sundaeswap,SUNDAE,Mid,,0.003,,,Cardano Blockchain,1,,,,Kraken,Ledger,NOY
Taki,TAKI,Degen,,0.0025,,,DeSo,1,1,,,,Ledger,
Bittensor,TAO,Mid,,15,,,AI,,,,TOM,Gateio,Ledger,
Bittensor,TAO,Mid,,17,1000,59,AI,,,,,Kraken,Sui Wallet,
Verasity,VAR,Mid,,0.002,,0,DeSo,1,1,,TOM,,Ledger,
Voxies,VOXEL,High,,0.05,,0,Gaming,1,,,,Gateio,Ledger,
Wilder World,WILD,High,,0.07,,0,Metaverse,1,,,,Kucoin/Gateio,Ledger,May go Bankrupt
Wojak,WOJAK,Degen,,0.00002,,,Meme,1,,,,Binance,Ledger,
XEN Crypto,XEN,Degen,,0.0000002,,,Defi,1,,,,Binance,Ledger,
LayerZero,ZRO,High,,,,#DIV/0!,L0,,1,,Not Out Yet,Kucoin/Gateio,Ledger,
Decentraland,,Low,,0.1,,,Metaverse,1,,,Not Out Yet,Gateio,Ledger,
Seedify,,Mid,,0.2,,0,Launchpads,1,1,,Not Out Yet,Gateio,Ledger,
ZkSync,,Degen,,,,,L2 Big Brands,1,,,Not Out Yet,,,
